,Condition,Alternative_1,Alternative_2,Alternative_3,Alternative_4,Label,Prediction,Case
417,0,13,14,18,26,14,14,0
418,1,1,2,17,25,25,25,0
419,21,2,10,13,25,10,2,0
420,7,10,20,21,26,26,26,1
421,22,14,27,29,31,29,29,0
422,1,6,10,13,19,13,13,4
423,15,5,6,18,31,5,5,0
424,11,3,9,14,15,15,15,0
425,19,11,14,22,26,26,26,1
426,28,12,15,26,29,29,29,3
427,25,3,18,21,31,21,21,3
428,18,1,6,8,26,8,8,0
429,9,1,2,6,21,21,21,0
430,22,2,9,15,27,9,9,0
431,4,10,15,20,23,20,10,0
432,8,4,11,25,28,4,4,0
433,27,2,6,16,22,16,16,3
434,19,3,9,15,24,3,15,0
435,7,4,14,27,29,4,4,0
436,22,2,13,18,20,20,20,0
437,20,3,5,26,27,3,3,0
438,22,3,9,25,31,9,9,0
439,30,3,23,25,27,27,27,0
440,20,5,11,25,27,11,11,0
441,27,3,5,23,30,5,30,0
442,29,0,3,21,23,0,0,0
443,11,4,6,14,30,4,4,1
444,18,0,20,22,30,22,22,0
445,1,19,21,26,29,19,19,0
446,19,7,25,26,31,26,26,0
447,24,4,9,13,20,13,13,4
448,29,8,22,25,29,29,29,0
449,12,0,2,8,29,29,29,0
450,10,2,4,12,15,4,4,0
451,23,3,6,10,15,15,15,0
452,22,4,8,15,16,4,4,0
453,9,0,7,9,30,0,0,0
454,21,1,3,7,19,1,1,1
455,21,3,8,23,24,8,23,0
456,14,1,17,21,25,25,25,0
457,7,1,6,13,20,20,20,0
458,31,2,16,19,29,16,19,0
459,17,3,14,19,23,14,14,0
460,18,0,1,17,24,1,1,0
461,27,6,16,19,26,6,19,0
462,26,9,10,13,23,13,13,0
463,18,0,8,10,17,10,10,0
464,16,3,12,29,30,3,3,0
465,29,7,17,19,26,26,26,0
466,7,1,20,28,29,20,20,0
467,2,3,5,24,31,31,5,0
468,1,7,10,15,26,7,7,0
469,2,15,24,25,31,15,15,0
470,27,2,16,22,24,16,16,3
471,27,8,12,14,22,8,22,3
472,17,4,7,23,29,7,7,0
473,12,6,10,18,27,27,27,1
474,8,0,11,22,31,22,22,0
475,4,3,17,25,31,17,25,0
476,24,12,13,27,30,13,13,0
477,4,3,6,21,31,6,6,3
478,18,0,3,11,29,3,11,0
479,18,1,5,9,25,25,25,0
480,27,5,13,27,28,5,13,0
481,5,3,12,13,26,26,26,0
482,26,9,15,20,23,15,15,0
483,19,0,17,21,31,17,21,0
484,2,14,27,28,29,29,29,1
485,28,5,19,25,31,5,19,0
486,1,5,21,23,25,25,25,4
487,25,3,17,24,26,26,17,3
488,25,1,7,8,11,7,7,3
489,19,1,13,17,25,25,17,0
490,31,1,15,22,23,15,15,4
491,12,2,4,10,23,4,4,1
492,30,0,5,21,25,0,0,0
493,8,8,9,14,21,21,14,0
494,6,13,19,21,28,28,13,0
495,18,12,15,23,30,12,30,0
496,8,0,4,11,18,4,11,0
497,21,5,18,25,30,5,5,0
498,24,5,15,26,27,27,27,4
499,16,2,18,22,26,18,18,0
500,6,1,24,27,31,1,1,0
501,10,4,6,14,24,4,4,0
502,25,2,5,12,16,16,16,3
503,7,10,15,20,26,26,26,1
504,5,2,5,9,22,5,5,0
505,18,10,21,29,31,10,10,0
506,5,2,4,11,19,4,4,0
507,1,3,12,18,23,3,3,0
508,12,4,13,19,21,21,4,1
509,8,2,19,22,27,22,19,0
510,23,6,10,25,27,27,27,1
511,3,6,15,26,29,29,29,0
512,0,12,14,15,19,14,19,0
513,3,2,13,27,28,13,13,0
514,20,6,10,15,24,24,15,0
515,21,11,12,14,30,30,30,0
516,26,0,2,6,13,13,13,0
517,29,14,15,19,26,26,26,0
518,21,5,11,15,16,16,16,0
519,26,15,21,26,31,21,21,0
520,29,20,24,27,28,20,20,3
521,10,6,7,20,28,20,20,1
522,29,5,23,24,31,5,5,0
523,8,0,16,22,27,27,27,4
524,1,13,19,22,28,13,13,4
525,19,0,12,13,27,13,13,4
526,8,0,21,28,31,28,28,4
527,11,2,4,27,29,4,4,0
528,14,20,23,26,31,20,20,0
529,22,6,9,20,31,9,9,0
530,7,10,15,24,28,15,15,0
531,9,10,11,17,25,17,17,0
532,12,4,15,16,29,4,4,0
533,26,6,7,16,20,7,7,0
534,19,13,14,21,23,21,14,0
535,19,5,17,19,21,5,5,0
536,9,0,13,21,24,0,0,3
537,26,3,10,11,27,10,10,3
538,16,10,17,18,20,10,10,0
539,27,9,18,20,31,18,18,3
540,22,6,10,26,30,26,26,1
541,17,4,8,15,27,8,8,0
542,7,1,13,14,15,15,15,0
543,11,0,8,29,30,30,30,0
544,8,3,17,24,26,3,3,0
545,20,2,3,7,16,3,3,0
546,7,3,7,16,23,16,23,1
547,17,0,10,11,28,28,28,4
548,26,3,11,13,24,13,11,3
549,11,23,27,28,30,23,30,1
550,25,6,7,16,23,16,16,0
551,0,20,21,26,30,21,30,0
552,20,6,9,11,29,11,11,0
553,13,9,23,25,31,9,9,0
554,9,3,4,7,29,4,4,0
555,20,2,19,21,28,28,28,0
556,9,1,13,16,24,16,16,0
557,9,14,18,24,26,26,26,3
558,14,2,14,17,31,14,14,0
559,28,3,13,23,26,13,13,0
560,19,12,25,27,31,25,25,0
561,13,6,13,17,25,17,17,0
562,30,8,16,21,27,16,16,0
563,29,15,22,25,26,15,26,0
564,18,0,4,6,18,18,18,0
565,20,1,5,8,22,8,22,0
566,17,3,4,26,28,28,28,4
567,26,0,8,12,24,12,8,2
568,21,3,9,10,21,21,21,0
569,29,2,18,20,24,20,20,3
570,17,2,8,14,15,8,8,0
571,30,0,21,29,31,0,0,3
572,14,3,6,28,29,6,6,0
573,20,3,7,18,26,18,18,0
574,2,3,6,12,23,23,23,1
575,31,7,13,18,19,13,13,4
576,18,3,11,15,17,11,11,0
577,10,0,13,22,24,0,0,0
578,7,1,3,10,15,15,15,1
579,30,11,29,30,31,31,29,3
580,11,6,10,17,21,17,17,1
581,4,0,1,7,26,7,7,0
582,6,7,17,20,21,7,7,0
583,15,9,12,13,24,13,9,0
584,21,1,9,15,18,1,1,0
585,2,11,13,15,19,15,15,0
586,6,11,15,21,25,25,25,0
587,25,0,13,20,25,20,20,0
588,1,21,25,29,31,25,25,4
